Timestamp,Object_ID,Depth_mm
1741815445.4298358,1,44.8
1741815445.4812877,1,44.8
1741815447.5737042,1,45.2
1741815447.6466134,1,45.1
1741815447.7330174,1,45.0
1741815447.8289351,1,45.0
1741815447.912444,1,45.0
1741815448.0011587,1,45.0
1741815448.0771854,1,45.0
1741815448.1523087,1,45.0
1741815448.226013,1,45.1
1741815448.2714467,1,45.1
1741815448.3215182,1,45.1
1741815448.3700526,1,45.4
1741815448.4368825,1,45.5
1741815448.4976192,1,45.5
1741815448.555802,1,45.5
1741815448.603218,1,45.4
1741815448.681887,1,45.4
1741815448.72806,1,45.5
1741815448.7753646,1,45.5
1741815448.8189044,1,45.4
1741815448.8668237,1,45.2
1741815448.913793,1,45.5
1741815448.966012,1,45.5
1741815448.966012,1,44.2
1741815449.0436578,1,45.6
1741815449.0436578,1,44.3
1741815449.092944,1,45.5
1741815449.092944,1,44.4
1741815449.1591735,1,45.6
1741815449.2191,1,45.3
1741815449.273343,1,45.5
1741815449.3317568,1,45.6
1741815449.3860998,1,45.5
1741815449.450019,1,44.9
1741815449.510078,1,45.0
1741815449.557125,1,45.0
1741815449.6031842,1,45.2
1741815449.646449,1,45.1
1741815449.6980789,1,45.1
1741815449.7398312,1,45.5
1741815449.8049898,1,45.5
1741815449.8791184,1,45.4
1741815449.930096,1,45.5
1741815449.9860368,1,45.5
1741815450.0498948,1,45.5
1741815450.132282,1,45.6
1741815450.2059815,1,45.5
1741815450.265658,1,45.5
1741815450.345445,1,45.5
1741815450.41088,1,45.5
1741815450.4865751,1,45.5
1741815450.5472274,1,45.5
1741815450.6153803,1,45.5
1741815450.6749036,1,45.3
1741815450.7679677,1,45.2
1741815450.8587916,1,45.5
1741815450.915553,1,45.6
1741815450.9910357,1,45.5
1741815451.0788672,1,45.5
1741815451.1667943,1,45.5
1741815451.223042,1,45.5
1741815451.2702298,1,45.6
1741815451.3351767,1,45.5
1741815451.4038231,1,45.5
1741815451.455942,1,45.3
1741815451.502311,1,45.4
1741815451.5511758,1,45.4
1741815451.599929,1,45.4
1741815451.6481247,1,45.3
1741815451.6916716,1,45.3
1741815451.7435124,1,45.2
1741815451.8019333,1,45.3
1741815451.8505998,1,45.3
1741815451.901012,1,45.3
1741815451.968798,1,45.4
1741815452.0440466,1,45.4
1741815452.1152472,1,44.9
1741815452.1622002,1,45.3
1741815452.197337,1,45.4
1741815452.2409866,1,45.4
1741815452.291507,1,45.5
1741815452.337417,1,45.5
1741815452.3834257,1,45.5
1741815452.4589128,1,45.4
1741815452.5129707,1,45.5
1741815452.568881,1,45.4
1741815452.6176322,1,45.4
1741815452.6609662,1,45.5
1741815452.7180977,1,45.5
1741815452.777019,1,45.5
1741815452.8440404,1,45.5
1741815452.9400403,1,45.5
1741815453.0162578,1,45.5
1741815453.0842834,1,45.6
1741815453.1534595,1,45.6
1741815453.2046804,1,45.6
1741815453.2508163,1,45.5
1741815453.296537,1,45.6
1741815453.3596764,1,45.5
1741815453.4255178,1,45.4
1741815453.480722,1,45.6
1741815453.5374677,1,45.6
1741815453.5868864,1,45.6
1741815453.649057,1,45.5
1741815453.693782,1,45.5
1741815453.7407403,1,45.4
1741815453.7851448,1,45.5
1741815453.8331587,1,45.5
1741815453.884432,1,44.9
1741815453.927355,1,44.8
1741815453.9808955,1,45.1
1741815454.04696,1,45.2
1741815454.1215398,1,45.2
1741815454.1912289,1,45.2
1741815454.245145,1,45.2
1741815454.27927,1,45.3
1741815454.334835,1,45.0
1741815454.334835,3,39.5
1741815454.4186068,1,45.1
1741815454.4186068,3,40.0
1741815454.5097315,1,45.4
1741815454.5097315,3,41.8
1741815454.5454783,1,45.5
1741815454.5454783,3,43.7
1741815454.593959,1,45.8
1741815454.593959,3,44.0
1741815454.6391857,1,45.7
1741815454.6391857,3,44.5
1741815454.6866078,1,46.5
1741815454.6866078,3,44.6
1741815454.7308383,1,46.8
1741815454.7308383,3,44.9
1741815454.7780328,1,47.4
1741815454.7780328,3,160.2
1741815454.8102434,1,47.4
1741815454.8102434,3,161.4
1741815454.8699434,1,47.1
1741815454.8699434,3,164.5
1741815454.9197571,1,48.7
1741815454.9197571,3,170.0
1741815454.9706638,1,49.5
1741815454.9706638,3,169.5
1741815455.0156057,1,50.0
1741815455.0156057,3,168.1
1741815455.0676916,1,50.3
1741815455.0676916,3,166.3
1741815455.1258185,1,51.2
1741815455.1258185,3,170.0
1741815455.1965034,1,52.1
1741815455.1965034,3,166.3
1741815455.2535353,1,53.1
1741815455.2535353,3,167.7
1741815455.3222263,1,53.8
1741815455.323231,3,168.1
